17:35:30.030 > ets Jul 29 2019 12:21:46
17:35:30.030 > 
17:35:30.030 > rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
17:35:30.030 > configsip: 0, SPIWP:0xee
17:35:30.030 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
17:35:30.030 > mode:DIO, clock div:2
17:35:30.030 > load:0x3fff0030,len:1184
17:35:30.030 > load:0x40078000,len:12776
17:35:30.030 > load:0x40080400,len:3032
17:35:30.030 > entry 0x400805e4
17:35:32.109 > 204961,2
17:35:32.124 > 204961,2
17:35:32.126 > 204975,0
17:35:32.141 > 204975,0
17:35:32.157 > 204975,0
17:35:32.157 > 204975,0
17:35:32.173 > 204975,0
17:35:32.174 > 204975,0
17:35:32.190 > 204975,0
17:35:32.205 > 204975,0
17:35:32.205 > 204975,0
17:35:32.221 > 204953,1
17:35:32.237 > 204953,1
17:35:32.237 > 204953,1
17:35:32.253 > 204953,1
17:35:32.253 > 204953,1
17:35:32.269 > 204953,1
17:35:32.285 > 204953,1
17:35:32.285 > 204953,1
17:35:32.301 > 204953,1
17:35:32.317 > 204953,1
17:35:32.318 > 204989,0
17:35:32.333 > 204989,0
17:35:32.349 > 204989,0
17:35:32.349 > 204989,0
17:35:32.365 > 204989,0
17:35:32.365 > 204989,0
17:35:32.381 > 204989,0
17:35:32.397 > 204989,0
17:35:32.397 > 204989,0
17:35:32.413 > 204989,0
17:35:32.429 > 204969,1
17:35:32.430 > 204969,1
17:35:32.445 > 204969,1
17:35:32.446 > 204969,1
17:35:32.461 > 204969,1
17:35:32.477 > 204969,1
17:35:32.477 > 204969,1
17:35:32.493 > 204969,1
17:35:32.509 > 204969,1
17:35:32.510 > 204969,1
17:35:32.524 > 204951,2
17:35:32.526 > 204951,2
17:35:32.541 > 204951,2
17:35:32.557 > 204951,2
17:35:32.558 > 204951,2
17:35:32.573 > 204951,2
17:35:32.589 > 204951,2
17:35:32.589 > 204951,2
17:35:32.605 > 204951,2
