19:20:49.557 > 
19:20:49.558 > Brownout detector was tri␏␀=␀�␀�␀ɕ�5Rj��ets Jul 29 2019 12:21:46
19:20:50.504 > 
19:20:50.504 > rst:0x10 (RTCWDT_RTC_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
19:20:50.524 > configsip: 0, SPIWP:0xee
19:20:50.524 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
19:20:50.524 > mode:DIO, clock div:2
19:20:50.524 > load:0x3fff0030,len:1184
19:20:50.524 > load:0x40078000,len:12776
19:20:50.524 > load:0x40080400,len:3032
19:20:50.524 > entry 0x400805e4
19:20:52.451 > Brownout detector was tr�␀=�␀␡␀␀␀␀␀␀␀d
19:20:52.469 > 
19:20:53.589 > ets Jul 29 2019 12:21:46
19:20:53.610 > 
19:20:53.610 > rst:0x10 (RTCWDT_RTC_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
19:20:53.641 > invalid header: 0xffffffff
19:20:53.690 > invalid header: 0xffffffff
19:20:53.737 > invalid header: 0xffffffff
19:20:53.770 > invalid header: 0xffffffff
19:20:53.817 > invalid header: 0xffffffff
19:20:53.866 > invalid header: 0xffffffff
19:20:53.913 > invalid header: 0xffffffff
19:20:53.946 > ets Jul 29 2019 12:21:46
19:20:53.947 > 
19:20:53.947 > rst:0x10 (RTCWDT_RTC_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
19:20:53.993 > invalid header: 0xffffffff
19:20:54.039 > invalid header: 0xffffffff
19:20:55.702 > ets Jul 29 2019 12:21:46
19:20:55.704 > 
19:20:55.704 > rst:0x10 (RTCWDT_RTC_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
19:20:55.704 > configsip: 0, SPIWP:0xee
19:20:55.704 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
19:20:55.704 > mode:DIO, clock div:2
19:20:55.704 > load:0x3fff0030,len:1184
19:20:55.704 > load:0x40078000,len:12776
19:20:55.704 > load:0x40080400,len:3032
19:20:55.704 > entry 0x400805e4
19:20:55.847 > 0,0
19:20:55.847 > 0,0
19:20:55.862 > 0,0
19:20:55.878 > 0,0
19:20:55.889 > 0,0
19:20:55.894 > 0,0
19:20:55.910 > 0,0
19:20:55.910 > 0,0
19:20:55.927 > 0,0
19:20:55.927 > 194459,0
19:20:55.942 > 194459,0
19:20:55.958 > 194459,0
19:20:55.959 > 194459,0
19:20:55.975 > 194459,0
19:20:55.991 > 194459,0
19:20:55.991 > 194459,0
19:20:56.007 > 194459,0
19:20:56.007 > 194459,0
19:20:56.023 > 194459,0
19:20:56.038 > 205095,-10636
19:20:56.039 > 205095,-10636
19:20:56.055 > 205095,-10636
19:20:56.071 > 205095,-10636
19:20:56.071 > 205095,-10636
19:20:56.087 > 205095,-10636
19:20:56.087 > 205095,-10636
19:20:56.103 > 205095,-10636
19:20:56.118 > 205095,-10636
19:20:56.119 > 205095,-10636
19:20:56.134 > 205066,-10636
19:20:56.149 > 205066,-10636
19:20:56.151 > 205066,-10636
19:20:56.165 > 205066,-10636
19:20:56.167 > 205066,-10636
19:20:56.183 > 205066,-10636
19:20:56.198 > 205066,-10636
19:20:56.198 > 205066,-10636
19:20:56.214 > 205066,-10636
19:20:56.230 > 205066,-10636
19:20:56.230 > 205103,-37
19:20:56.246 > 205103,-37
19:20:56.247 > 205103,-37
19:20:56.263 > 205103,-37
19:20:56.278 > 205103,-37
19:20:56.278 > 205103,-37
19:20:56.294 > 205103,-37
19:20:56.310 > 205103,-37
19:20:56.311 > 205076,-37
19:20:56.326 > 205076,-37
19:20:56.327 > 205076,-37
